lengua y traducctor,id_título,título,anio primer edición,editorial1b 1,editorial1b 2,editorial1b 3,editorial1b 4,editorial1b 5,editorial1b 6,editorial2b,ciudad_ed,país_ed,lengua o idioma,género,género2
Traducción al inglés de: Margaret Sayers Peden .,4967,The Golden Thread and other Plays by Emilio Carballido,1970,University of Texas Press,,,,,,,X,EUA,Inglés,Dramaturgia,
Traducción al italiano de: Juan Rodolfo Lozada.,8127,Sorella acqua. Plenitude ed altre liriche e prose,1930,Publicazioni dell' Instituto Cristoforo Colombo,,,,,,,Roma,Italia,Italiano,Poesía,
Traducción al inglés de: Lawrence Schimel.,8372,420 golpes. Libro de horas = 420 Strokes: A Book of Hours,2012,Mantis Editores,BookThug,,,,,,Guadalajara,México,Inglés,Poesía,
Traducción al inglés de: Lawrence Schimel.,8373,Voluntad de la luz = Light's Volition,2012,Mantis Editores,BookThug,,,,,,Guadalajara,México,Inglés,Poesía,
Traducción al inglés de: Lawrence Schimel.,8374,Vidrio molido = Ground Glass,2012,Mantis Editores,BookThug,,,,,,Guadalajara,México,Inglés,Poesía,
,8614,Jaguar Eye,1999,Gobierno del Estado de Chiapas,Consejo Estatal para la Cultura y las Artes de Chiapas,,,,,Temas representativos,D.F.,México,Inglés,Poesía,
Traducción al inglés y prólogo de: Nathanial Gardner.,20510,"Dear Diego: Querido Diego, te abraza Quiela",2012,Aris and Phillips Oxford,,,,,,,Oxford,Inglaterra,Inglés,Narrativa,Novela
,20773,If We Have Lost Our Oldest Tales,2006,Arlon Press,,,,,,,X,Irlanda,Inglés,Poesía,
,21243,Dawn of the Senses. Selected Poems of Alberto Blanco (antología bilingüe),1995,City Lights Books,,,,,,Pocket Poet Series; 52,San Francisco,EUA,Inglés,Poesía,
Traducción al sueco:Lasse Söderberg.,21377,Stele,2005,Lilla torg,,,,,,Malmo,X,Suecia,Sueco,Poesía,
Traducción al francés de :Stéphane Chaumet.,21379,Feu nouveau / Fuego nuevo,2009,L'Oreille du Loup,,,,,,,París,Francia,Francés,Poesía,
Traducción al Italiano de: Martha L. Canfield.,31630,Allucinata e selvaggia (poesie 1989-2004),2008,LietoColle,,,,,,Collana Altre Terre; 13,X,Italia,Italiano,Poesía,
,31660,Trait du temps/Trazo del tempo,2001,Universidad Nacional Autónoma de México,Aldus,Écrits des Forges,,,,Écrits des Forges,Quebec,Canadá,Francés,Poesía,
Traducción al hñähñú (otomí del Valle del Mezquital) de: Raymundo Isidro Alavez.,51790,El llano en llamas : traducción al hñähñú u otomí del Valle del Mezquital Hidalgo,2013,Facultad de Estudios Superiores Acatlán,,,,,,,D.F.,México,ñänhú (otomí del Valle del Mezquital),Narrativa,Cuento
,52678,Tijuana. Stories on the border,1994,The University of California Press,,,,,,,X,EUA,Inglés,Narrativa,Cuento
Traducción de:Eliot Weinberger. Traducción de:Esther Allen.,73111,Nostalgia for Death and Hieroglyphs of Desire,1993,Cooper Canyon,,,,,,,Washington,EUA,Inglés,Crítica y estudios sobre géneros varios,
Traducción al inglés de: Muriel Rukeyser.,73116,Selected Poems,1963,University Press,,,,,,,Bloomington,EUA,Inglés,Poesía,
Traducción al alemán de: Fritz Vogelgsang.,73138,Gedichte,1977,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción de: Françoise Roy.,83269,Un chardon dans la voix = El cardo en la voz,2007,Mantis Editores,Écrits des Forges,,,,,El cardo en la voz,Quebec,Canadá,Francés,Poesía,
Traducción de:William F. Stirling. Traducción de:Rex Edward Bullimger.,94010,Crown of shadows : an anti-historical play,1946,Allan Wingate,,,,,,,Londres,Reino Unido,Inglés,Dramaturgia,
Traducción de:Thomas Bledsoe.,94024,Two plays by Rodolfo Usigli : crown of light and one of these days,1971,Southern Illinois Univerity Press,,,,,,,Illinois,EUA,Inglés,Dramaturgia,
Traducción al zapoteco de: Mario Molina Cruz. Ilustración de: Guillermo Scully Fuentes.,94081,Los amigos de la coyota risueña y loca = Tu'kue bene nha bayix nna bekw'ya nhólh xhill'lhall,1996,Fondo Nacional para la Cultura y las Artes,Ediciones del Rey Momo,,,,,,D.F.,México,zapoteco,Narrativa,Cuento
Traducción de:Mark Schafer.,144034,Migrations = Migraciones,2004,Junction Press,Shearsman Books,,,,,,San Diego,EUA,Inglés,Poesía,
Traducción de: Ecila de Azeredo Grünewald. Ilustración de: Rafael Barajas.,174410,A pior mulher do mundo,1998,Nova Fronteira,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Cuento
,174623,The Selected Poetry of Gabriel Zaid. A Bilingual Collection,2014,Paul Dry Books,,,,,,,Filadelfia,EUA,Inglés,Poesía,
,194785,Passione e scrittura. Antologia di narratrici messicane del XX secolo,1998,Anteprima,,,,,,,X,Italia,Italiano,Narrativa,
,196526,Poèmes choisis,1965,Eje Cultura México-Francia,,,,,,,Niza,Francia,Francés,Poesía,
,196648,Les jours fossiles,2002,Éditions de l'Éclose,,,,,,,París,Francia,Francés,Narrativa,Cuento
,198111,Journal de bord de la quiétude = Bitácora de la quietud,1991,Drac Nord-Pas de Calais,Zou,,,,,,Lille,Francia,Francés,Poesía,
,198331,A travesía dos elefantes,2004,Ediciones SM,,,,,,,São Paulo,Brasil,Portugués,Narrativa,Cuento
Traducción de: Celerina Sánchez. Antología de: Lauro Zavala.,200854,Ñàá ndasatutu kue kuendu kue Naá Nko’yo,2013,Ediciones El Ermitaño,,,,,,Literatura en Lenguas Mexicanas,D.F.,México,mixteco,Narrativa,Cuento
Traducción de: COLMIX. Antología de: Lauro Zavala.,200861,Nëwempit matyä´äky,2013,Ediciones El Ermitaño,,,,,,Literatura en Lenguas Mexicanas,D.F.,México,mixe,Narrativa,Cuento
Traducción de: Víctor Cata. Antología de: Lauro Zavala.,200863,Ti be’za’diidxa’ ndahui sti’ binni Zaguita,2013,Ediciones El Ermitaño,,,,,,Literatura en Lenguas Mexicanas,X,México,zapoteco,Narrativa,Cuento
,201434,Un air exalté = aire enardecido,2000,Universidad Nacional Autónoma de México,Aldus,,,,,,D.F.,México,Francés,Poesía,
Edición de: Barbara Dröscher. Edición de: Carlos Rincón.,203956,Carlos Fuentes' Welten : kritische Relektüren,2003,Tranvía,,,,,,,Berlín,Alemania,Alemán,Crítica y estudios sobre géneros varios,
,204111,O arco e a lira,1982,Nova Fronteira,,,,,,,Río de Janeiro,Brasil,Portugués,Poesía,
Traducción al francés de : Roger Munier.,204112,L´arc et la lyre,1993,Gallimard,,,,,,,París,Francia,Francés,Poesía,
Traducción al holandés de: Tessa Zeiler.,204543,Dit leven is een leugen,1986,Het Wereldvenster,,,,,,Derde spreker-serie,Weesp,Países Bajos,Holandés,Narrativa,Novela
Prefacio y traducción al inglés de: Mark Strand. Selección y prólogo de: Octavio Paz. Selección y notas de: Alí Chumacero. Selección y notas de: Homero Aridjis. Selección y notas de: José Emilio Pacheco.,204811,New Poetry of Mexico,1970,Dutton editions,,,,,,,Nueva York,EUA,Inglés,Poesía,
Traducción al inglés y prólogo de: W. S. Merwin.,205172,Pieces of Shadow. Selected Poems,2007,Fondo de Cultura Económica,,,,,,Tezontle / Fundación para las Letras Mexicanas,D.F.,México,Inglés,Poesía,
,205174,prueba editorial 100,2015,Ediciones SM,,,,,,,X,México,Estonio,,
Traducción al inglés de: Helen Lane. Traducción al inglés de: Ronald Christ.,205177,Kill the Lion!,2008,Fondo de Cultura Económica,,,,,,Tezontle / Fundación para las Letras Mexicanas,D.F.,México,Inglés,Narrativa,Novela
"Traducción al portugués de: Floriano Martins. Selección, prólogo y notas de: Eduardo Langagne.",205198,Dentro do poema (poetas mexicanos nascidos entre 1950 e 1959),2009,Governo do Estado de Ceará,Ediçöes UFC,,,,,,Fortaleza,Brasil,Portugués,Poesía,
Traducción al francés de: Gersende Camenen.,205221,Octavio Paz dans son siècle,2014,Gallimard,,,,,,,París,Francia,Francés,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción de: Yásnaya Elena Aguilar Gil. Antología de: Lauro Zavala.,205237,Nëwempët matya´aky,2014,Ediciones El Ermitaño,,,,,,Literatura en Lenguas Mexicanas,D.F.,México,mixe,Narrativa,Cuento
,205254,La consigna y el milagro = The Summons and the Miracle,2005,Cork Hill Press,,,,,,,Indiana,EUA,Inglés,Poesía,
Traducción al Italiano de: María Cristina Secci.,205266,La gabbia della malinconia. Identità e metamorfosi del messicano,2010,Noubs,,,,,,,Chieti,Italia,Italiano,Ensayo,
Traducción al Italiano de: Stefano Tedeschi.,205312,Non chiamarmi Ramón,1995,Òmicron,,,,,,Croce del Sud; 3,Roma,Italia,Italiano,Narrativa,Novela
,205366,The Non-Existence of Argentineans,2014,Ediciones Eón,,,,,,Narrativa,X,México,Inglés,Narrativa,Novela
,205447,Jñaa meuxubi ne xtiidxa' mani' = La mamá de los alacranes y otras fábulas zapotecas,2002,instituto Estatal de Educación Pública de Oaxaca,Fondo Editorial del Estado de Oaxaca,,,,,Voces del Fondo,D.F.,México,zapoteco,Narrativa,Cuento
Traducción al italiano y prólogo de: Giuseppe Bellini.,205456,Libertà sulla parola,1966,Guanda,,,,,,,Parma,Italia,Italiano,Poesía,
Traducción al portugués de: Olga Savary.,205460,23 poemas de Octavio Paz,1983,Kempf,,,,,,,São Paulo,Brasil,Portugués,Poesía,
Traducción al catalán de: Clara García Pujol. Ilustración de: Miguel Zamora.,205479,Apropa't,2014,Tramuntana,,,,,,,Girona,España,Catalán,Narrativa,Cuento
Traducción al hñähñú (otomí del Valle del Mezquital) de: Raymundo Isidro Alavez.,205529,Ra zi ts´unt´u dängandä = El principito,2012,Centro de Estudios Mexicanos y Centroamericanos,Liceo Franco Mexicano,,,,,,D.F.,México,ñänhú (otomí del Valle del Mezquital),Narrativa,Novela
Edición y prólogo de: José Luis Martínez. Traducción al inglés de: Dick Gerdes.,205530,Anthology,2009,Fondo de Cultura Económica,,,,,,Tezontle / Fundación para las Letras Mexicanas,X,México,Inglés,Títulos de géneros varios,
Traducción al Italiano de: Emilio Coco.,205553,Forestiero sulla terra,2009,Sentieri Meridiani Edizioni,,,,,,,Foggia,Italia,Italiano,Poesía,
Traducción al Italiano de: Furio Lippi.,205556,Farfalle notturne e altri racconti,2000,Ibis,,,,,,Tusitala,Torino,Italia,Italiano,Narrativa,Cuento
Traducción al Italiano de: Furio Lippi.,205571,I fenicotteri e altri racconti messicani,2003,Ibis,,,,,,Tusitala,Torino,Italia,Italiano,Narrativa,Cuento
Traducción al Italiano de: Caterina Camastra.,205582,Gregge,2006,Bibliofabbrica,,,,,,Croce del Sud,Gussago,Italia,Italiano,Narrativa,Cuento
Prólogo de: Elena Poniatowska. Traducción al inglés de: Cynthia Steele.,205602,The Underground River and Other Stories,1996,University of Nebraska Press,,,,,,,Londres,Reino Unido,Inglés,Narrativa,Cuento
Traducción al italiano de: Bianca Lazzaro.,205605,Morire a Veracruz,1993,Donzelli,,,,,,Collana Narrativa,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gianni Guadalupi.,205607,Di profilo,1973,Il Saggiatore,,,,,,,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Emilio Coco.,205609,Diario di sogni,2013,Giuliano Ladolfi Editore,,,,,,Collana Zaffiro,X,Italia,Italiano,Poesía,
Traducción al italiano de: Angelo Morino.,205610,A chi pensi quando fai l´amore?,1999,Bompiani,,,,,,Collana Narratori Stranieri,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefania Cherchi.,205611,1492 : vita e tempi di Juan Cabezón,1992,Garzanti,,,,,,,Milano,Italia,Italiano,Narrativa,Novela
Introducción de: Dante Liano. Traducción al italiano de: Lia Ogno.,205612,Confabulario,1993,Zanzibar,,,,,,,Milano,Italia,Italiano,Narrativa,Cuento
Introducción de: Pino Cacucci.. Traducción al italiano de: Stefano Tummolini.,205613,Retorno 201,2007,Fazi,,,,,,Collana Le Strade; 133,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefano Tummolini.,205614,Il bufalo della notte,2004,Fazi,,,,,,Collana Le Strade,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefano Tummolini.,205615,Pancho Villa e lo Squadrone Ghigliottina,2006,Fazi,,,,,,Collana Le Strade; 0,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefano Tummolini.,205616,Un dolce odore di morte,2005,Fazi,,,,,,Collana Le Strade,Roma,Italia,Italiano,Narrativa,Novela
Presentación y traducción de: Pino Cacucci.. Traducción al italiano de: Pino Cacucci..,205617,Il giorno che Marcos passò dal mio villaggio,2005,Sperling &amp; Kupfer,,,,,,Collana Continente Desaparecido,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Attilio Dabini.,205618,Quelli di sotto,1946,Mondadori,,,,,,Collana Medusa,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: María Cristina Secci.,205619,Malinconia e cultura: le malattie dell´anima nella Spagna del Secolo d´Oro,2012,CUEC,,,,,,Collana Biblioteca CUEC; 6,Cagliari,Italia,Italiano,Ensayo,
Traducción al italiano de: Maria Nicola.,205620,Dama cinese,2007,Bookever Editori Riuniti,,,,,,,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Chiara Muzzi.,205639,Salone di bellezza,2011,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Matteo Colombo.,205640,La donna che si immerse nel cuore del mondo,2011,Mondadori,,,,,,Collana Strade blu,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Elisabetta Noé.,205641,La bobe (La nonna),2007,Giuntina,,,,,,Collana Schulim Vogelmann,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Andrea Ghezzi.,205643,Il complotto mongolo,2011,La linea,,,,,,Collezione Tam tam,Bologna,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: David Iori.,205645,Prima,2012,Noripios,,,,,,,Florencia,Italia,Italiano,Narrativa,Novela
Edición de: Martha L. Canfield. Traducción al italiano de: Antonella Ciabatti.,205650,Dorme,1999,Le lettere,,,,,,Collana Pan Narrativa,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci.. Traducción al italiano de: Gloria Corica.,205654,La miracolosa,1996,Vallecchi,,,,,,Collezione Narratori e Poeti Vallecchi; 0,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Emilio Coco.,205659,Nessun luogo che sia mio,2013,Gattomerlino,Superstripes,,,,,Collana Serie Blu,Roma,Italia,Italiano,Poesía,
Traducción al italiano de: Gianni Guadalupi. Traducción al italiano de: Marcelo Ravoni.,205677,Peyoteros: viaggio nella terra magica della droga,1972,Il Saggiatore,,,,,,Collezione Gutemberg &amp; Company; 10,Milano,Italia,Italiano,Ensayo,
Edición de: Fabio Rodríguez Amaya. Traducción al italiano de: Paola Locati.,205703,Balún Canán,1993,Giunti,,,,,,Astrea; 43,Florencia,Italia,Italiano,Narrativa,Novela
Edición de: Fabio Rodríguez Amaya. Traducción al italiano de: Paola Locati.,205703,Balún Canán,1993,Giunti,,,,,,Astrea; 43,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Umberto Bonetti.,205704,Libro delle lamentazioni,1997,Marsilio,,,,,,Collezione Romanzi e racconti,Venecia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Silvia Sichel.,205749,Tre belle cubane,2007,Neri Pozza,,,,,,Collezione I narratori delle tavole,Vicenza,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Michela Finassi Parolo.,205750,Tutta una vita,1998,Il Saggiatore,,,,,,Collana Scritture,Milano,Italia,Italiano,Narrativa,Novela
"Traducción, introducción y notas de: Roberto Paoli .",205756,Poesie : con la risposta di Suor Filotea,1983,Rizzoli,,,,,,Collana BUR,Milano,Italia,Italiano,Poesía,
Traducción al italiano de: Michela Finassi Parolo.,205833,La borsa della Signora Rodriguez,1999,Il Saggiatore,,,,,,Collana Scritture,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: María Cristina Secci.,205838,La sierra e il vento,2011,CUEC,,,,,,Collana Itaca,Cagliari,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Giuseppe Bellini.,205840,Antologia Sorjuanina,1961,La Goliardica,,,,,,,Milano,Italia,Italiano,Poesía,
Traducción al italiano de: Giuseppe Bellini.,205842,Teatro Sacro,1999,San Paolo,,,,,,Biblioteca di Letteratura,Torino,Italia,Italiano,Dramaturgia,
Traducción al italiano de: Insel Marty. Prefacio de: Antonio Melis.,205844,Il Sogno,1985,Piovan,,,,,,Collana La Colchide,Abano Terme,Italia,Italiano,Poesía,
Edición y traducción de: Angelo Morino. Traducción al italiano de: Dacia Maraini.,205848,Risposta a Suor Filotea,1980,La Rosa,,,,,,Collana La Rosa; 10,Torino,Italia,Italiano,Ensayo,
Traducción al italiano de: Angelo Morino.,205854,Versi d'amore e di circonstanza: Primo Sogno,1996,Einaudi,,,,,,Collezione di Poesia,Torino,Italia,Italiano,Poesía,
Traducción al italiano de: Barbara Fiorellino.,205860,Il Divino Narciso,2007,Bagatto Libri,,,,,,Collana Testi e Manuali,Roma,Italia,Italiano,Dramaturgia,
Traducción al italiano de: Raul Schenardi.,205861,Le vocali maledette,2014,Arcoiris,,,,,,Collana Gli eccentrici,Salerno,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Barbara Bertoni. Traducción al italiano de: Barbara Bertoni.,205862,Linda 67: storia di un delitto,2008,Besa,,,,,,Collana Cosmografie,Otranto,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Giuliana Dal Piaz.,205864,Notizie dell'impero,2007,Imprint,,,,,,,Napoli,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gianni L. Staffilano.,205865,La Progenie,2009,Mondadori,,,,,,Collana Omnibus,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gianni L. Staffilano.,205867,Notte eterna,2012,Mondadori,,,,,,Collana Omnibus,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Enrico Cicogna.,205868,"Farabeuf, o, La cronaca di un istante",1970,Feltrinelli,,,,,,Collana I narratori,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Maria Clara Pasetti.,205869,Esperanza e la scatola dei santini,1999,Piemme,,,,,,,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Silvia Benso.,205884,Dolce come il cioccolato,1991,Garzanti,,,,,,,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Daniela De Rosa.,205887,Stellina di mare,1999,Mondadori,,,,,,Collana Piccola Contemporanea,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefania Cherchi.,205888,La legge dell'amore,1996,Garzanti Libri,,,,,,Collana Narratori Moderni,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefania Cherchi.,205889,La voce dell'acqua,2006,Garzanti Libri,,,,,,Collana Narratori Moderni,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefania Cherchi. Traducción al italiano de: Stefania Cherchi.,205890,Veloce come il desiderio,2001,Garzanti Libri,,,,,,Collana Narratori Moderni,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci..,205894,L'altra faccia di Rock Hudson,2008,Tropea,,,,,,Collana Iperfiction,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Elena Rolla.,205895,Fango,2011,Tropea,,,,,,Fuorionda,Milano,Italia,Italiano,Narrativa,Novela
Traducción de: Fabienne Bradu.,205899,Impossibles demeures,2000,Ediciones Sin Nombre,Écrits des Forges,,,,,Écrits des Forges,X,México/Québec,Francés,Poesía,
Traducción al italiano de: Carmine Di Michele.,205900,Aura,1964,Feltrinelli,,,,,,Collana I Narratori; 63 / Il Saggiatore Tascabili,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Carmine Di Michele.,205901,Cambio di pelle,1967,Feltrinelli,,,,,,Collana I Narratori,Milano,Italia,Italiano,Narrativa,Novela
